,index,name,ram,storage,brand_in_num,mean_rate,total_comment,price
99,10903483949.0,SAMSUNG GALAXY S10E 智能手機 6+128GB 幻鑽黑,0,128,1401,5.0,194.0,4698.0
100,10964145617.0,APPLE IPAD MINI 2019 64GB WIFI SILVER MUQX2ZP/A 平板電腦,0,64,1501,5.0,194.0,2988.0
101,10580223964.0,Microsoft Surface Go (Intel 4415Y/64GB/4GB RAM),4,64,1251,5.0,186.0,3188.0
102,10584849445.0,APPLE IPHONE XR 64GB 手機 橙色,0,64,1501,5.0,182.0,5199.0
103,10555863231.0,Apple Macbook Air 13 1.6GHz I5 128GB Gold MREE2ZP/A 手提電腦,0,128,1451,5.0,179.0,8929.0
104,10555848714.0,APPLE MACBOOK PRO TOUCH BAR 13'' 2.3GHz i5 256GB Silver MR9U2ZP/A 手提電腦,0,256,1501,5.0,178.0,12888.0
105,11020212665.0,HUAWEI P30 LITE 6+128GB 智能手機 白色,0,128,1351,5.0,176.0,2388.0
106,10586160964.0,ACER SF114-32-C9R3 NX.GXVCF.001 14'' 128GB SSD手提電腦,0,128,701,5.0,174.0,4798.0
107,10574024404.0,HUAWEI MATEBOOK X PRO i7/16GB/512GB/GREY,16,512,1351,5.0,157.0,14988.0
108,10586383779.0,SAMSUNG GALAXY NOTE 9 512GB 手機紫色,0,512,1401,5.0,151.0,7312.24
109,11026147262.0,VIVO Y91C 手機 黑,0,0,1301,5.0,149.0,1098.0
110,10964124098.0,APPLE IPAD AIR 10.5 256GB WIFI SPACE GREY MUUQ2ZP/A 平板電腦,0,256,1501,5.0,147.0,4699.0
111,10970331810.0,HUAWEI MATEBOOK13 I7/8GB/512GB/GREY 手提電腦,8,512,1351,5.0,145.0,8198.0
112,10952538741.0,SAMSUNG GALAXY TAB S5E 6+128GB WIFI 平板電腦 銀色,0,128,1401,5.0,143.0,3888.0
113,10883983078.0,DELL Inspiron 15 3583 i7 256GB Black Ins3583-R1720-B-W10 手提電腦,0,256,1001,5.0,142.0,6399.0
114,10395109300.0,Apple iPad (2018) Wi-Fi + Cellular 128GB MR722ZP/A 太空灰,0,128,1451,5.0,133.0,3948.0
115,10780284796.0,LENOVO Ideapad 330S-15ARR 81FB00C5HH 手提電腦,0,0,1201,5.0,130.0,6998.0
116,10555817857.0,Apple iPad Pro 11 64GB Wi-Fi Silver MTXP2ZP/A 平板電腦,0,64,1451,5.0,130.0,5799.0
117,10964145656.0,APPLE IPAD MINI 2019 256GB WIFI GOLD MUU62ZP/A 平板電腦,0,256,1501,5.0,129.0,3988.0
118,11026147265.0,VIVO Y91C 手機 藍色,0,0,1301,5.0,129.0,1098.0
119,10555841085.0,Apple MacBook Pro 15 2.6GHz i7 512GB 手提電腦,0,512,1451,5.0,128.0,18988.0
120,10952218503.0,VIVO V15 PRO 手機 藍色,0,0,1301,5.0,127.0,2998.0
121,11116894797.0,SAMSUNG SM-T510NZKETGY TAB A 10.1 平板電腦 黑色,0,0,1401,5.0,126.0,1888.0
122,10555866892.0,Apple iPad Pro 12.9 256GB Wi-Fi Silver MTFN2ZP/A 平板電腦,0,256,1451,4.98,120.0,8199.0
