,median_rates,mean_rates,product_index,product_type,product_brand,product_name,product_price,average_rate,no_of_rates,seller,website,brand_to_num
25,4.5,4.5,H0972006_S_zenfone_6,smartphone,Asus,ZenFone Max Pro (M1) (ZB602KL) - 6GB RAM / 超長效 5000mAh 電池 / 支援 NFC (酷炫銀),1549.0,4.5,2.0,ASK-Super-Outlet,https://www.hktvmall.com/hktv/zh/main/ASK-Super-Outlet/s/H1142001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/ZenFone-Max-Pro-M1-ZB602KL-6GB-RAM-超長效-5000mAh-電池-支援-NFC-酷炫銀/p/H0972006_S_zenfone_6,2751
26,4.0,4.0,H6725001_S_i7_R_128_1_U,smartphone,APPLE,"iPhone 7 - 128GB, 二手9成9新 (100%正常運作)(平行進口)",2780.0,4.0,2.0,HKTVmall-Outlet,https://www.hktvmall.com/hktv/zh/main/HKTVmall-Outlet/s/H1137001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-7-128GB-二手9成9新-100正常運作平行進口/p/H6725001_S_i7_R_128_1_U,3251
27,1.0,1.0,H0775001_S_AL04,smartphone,Alcatel,A3 4G LTE 5046I智能電話 (白)- Alcatel,409.0,1.0,2.0,HKTVmall-Outlet,https://www.hktvmall.com/hktv/zh/main/HKTVmall-Outlet/s/H1137001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/A3-4G-LTE-5046I智能電話-白-Alcatel/p/H0775001_S_AL04,2101
28,3.0,3.0,H5982001_S_catb30,smartphone,CATERPILLAR,Caterpillar CAT B30 香港行貨一年保養,600.0,3.0,2.0,Xero,https://www.hktvmall.com/hktv/zh/main/Xero/s/H5982001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Caterpillar-CAT-B30-香港行貨一年保養/p/H5982001_S_catb30,1701
29,5.0,5.0,H6603001_S_Aspire_SF114_32_P1MD_NX_GXVCF_004,laptop,ACER,"SF114 14"" FHD N5000 4G 128G SHARE Win10 S mode (銀色)",2999.0,5.0,2.0,新域達有限公司,https://www.hktvmall.com/hktv/zh/main/新域達有限公司/s/H6603001/電子電器/電子電器/電腦及週邊設備/手提電腦/SF114-14-FHD-N5000-4G-128G-SHARE-Win10-S-mode-銀色/p/H6603001_S_Aspire_SF114_32_P1MD_NX_GXVCF_004,3001
30,5.0,5.0,H6725001_S_i6_W_16_3A_U,smartphone,APPLE,"iPhone 6 - 16GB, 二手9成新 (100%正常運作)(平行進口)",1240.0,5.0,1.0,手機檢測科技有限公司,https://www.hktvmall.com/hktv/zh/main/手機檢測科技有限公司/s/H6725001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-6-16GB-二手9成新-100正常運作平行進口/p/H6725001_S_i6_W_16_3A_U,3251
31,5.0,5.0,H6588001_S_Vivo_iQOO_8_128_Blue,smartphone,vivo,iQOO 8GB+128GB 藍色 平行進口 中國版,3599.0,5.0,1.0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iQOO-8GB128GB-藍色-平行進口-中國版/p/H6588001_S_Vivo_iQOO_8_128_Blue,3151
32,5.0,5.0,H6588001_S_OP6_8_128_White,smartphone,OnePlus,OnePlus 6 8GB+128GB 白色 平行進口 中國版,2999.0,5.0,1.0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/OnePlus-6-8GB128GB-白色-平行進口-中國版/p/H6588001_S_OP6_8_128_White,2651
33,5.0,5.0,H5982001_S_blackberrykey2le64gbblk,smartphone,BlackBerry,BlackBerry Key 2 LE 64GB Black 香港行貨一年保養,3480.0,5.0,1.0,Xero,https://www.hktvmall.com/hktv/zh/main/Xero/s/H5982001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/BlackBerry-Key-2-LE-64GB-Black-香港行貨一年保養/p/H5982001_S_blackberrykey2le64gbblk,2151
34,5.0,5.0,H0972006_S_Honor_10_Black,smartphone,Huawei,HONOR 10 AI 雙鏡頭拍攝手機 (128GB) (原裝行貨) (幻夜黑),1999.0,5.0,1.0,ASK-Gadgets,https://www.hktvmall.com/hktv/zh/main/ASK-Gadgets/s/H0972006/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/HONOR-10-AI-雙鏡頭拍攝手機-128GB-原裝行貨-幻夜黑/p/H0972006_S_Honor_10_Black,3201
35,5.0,5.0,H5912001_S_AP0023-gd,smartphone,APPLE,iPhone XS 512GB-金（香港行貨）,10888.0,5.0,1.0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-XS-512GB金香港行貨/p/H5912001_S_AP0023-gd,3251
36,5.0,5.0,H6588001_S_Oneplus_7_8_256_Red,smartphone,OnePlus,OnePlus 7 8GB+256GB 珐琅红色 平行進口 中國版,3999.0,5.0,1.0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/OnePlus-7-8GB256GB-珐琅红色-平行進口-中國版/p/H6588001_S_Oneplus_7_8_256_Red,2651
37,4.0,4.0,H0661001_S_NBOHPA-14-ce1031TX,laptop,HP,Pavilion 14-ce1031TX 5MX39PA#AB5- Tranquil Pink,5388.0,4.0,1.0,Centralfield,https://www.hktvmall.com/hktv/zh/main/Centralfield/s/H0661001/電子電器/電子電器/電腦及週邊設備/手提電腦/Pavilion-14ce1031TX-5MX39PAAB5-Tranquil-Pink/p/H0661001_S_NBOHPA-14-ce1031TX,2001
38,5.0,5.0,H6588001_S_Nova_4_Blue,smartphone,Huawei,Nova 4 8GB+128GB 藍色 香港行貨,2599.0,5.0,1.0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Nova-4-8GB128GB-藍色-香港行貨/p/H6588001_S_Nova_4_Blue,3201
39,5.0,5.0,H6588001_S_OP6t_8_128MirBlk,smartphone,OnePlus,OnePlus 6t 8GB+128GB  亮瓷黑色 平行進口 中國版,3299.0,5.0,1.0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/OnePlus-6t-8GB128GB-亮瓷黑色-平行進口-中國版/p/H6588001_S_OP6t_8_128MirBlk,2651
40,5.0,5.0,S1076001_S_193268289345,laptop,Lenovo ,IP S530-13IWL (81J7001LHH)手提筆記型電腦,7273.0,5.0,1.0,Vertex-恆進,https://www.hktvmall.com/hktv/zh/main/Vertex-恆進/s/S1076001/電子電器/電子電器/電腦及週邊設備/手提電腦/IP-S53013IWL-81J7001LHH手提筆記型電腦/p/S1076001_S_193268289345,2501
41,1.0,1.0,H5393001_S_1001277,smartphone,NOKIA,8110 4G LTE 雙卡雙核2MP 手提智能電話 - 黑色（平行進貨）,579.0,1.0,1.0,GreenMac,https://www.hktvmall.com/hktv/zh/main/GreenMac/s/H5393001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/8110-4G-LTE-雙卡雙核2MP-手提智能電話-黑色平行進貨/p/H5393001_S_1001277,2451
42,5.0,5.0,H5912001_S_EK0001,smartphone,柯達,EKTRA（香港行貨）,1499.0,5.0,1.0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/EKTRA香港行貨/p/H5912001_S_EK0001,1101
43,4.0,4.0,H0762001_S_NS13A1HK087P-140160099,laptop,Nexstgo,(13.3 Pentium N4200 4GB RAM 128GB SSD Win10) AVITA Liber 13.3 筆記型電腦,2898.0,4.0,1.0,Mob-hk,https://www.hktvmall.com/hktv/zh/main/Mob-hk/s/H0762001/電子電器/電子電器/電腦及週邊設備/手提電腦/133-Pentium-N4200-4GB-RAM-128GB-SSD-Win10-AVITA-Liber-133-筆記型電腦/p/H0762001_S_NS13A1HK087P-140160099,851
44,5.0,5.0,H6588001_S_Samsung_A70_6_Black,smartphone,三星,Galaxy A70 6GB+128GB 黑色 香港行貨,2699.0,5.0,1.0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Galaxy-A70-6GB128GB-黑色-香港行貨/p/H6588001_S_Samsung_A70_6_Black,3351
45,5.0,5.0,H6588001_S_Oneplus_7_8_256_Black,smartphone,OnePlus,OnePlus 7 8GB+256GB 曜岩灰色 平行進口 中國版,3399.0,5.0,1.0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/OnePlus-7-8GB256GB-曜岩灰色-平行進口-中國版/p/H6588001_S_Oneplus_7_8_256_Black,2651
