Index,product_index,product_type,product_name,prodect_brand,price,avg_rating,total_comment,seller,website
62,10964145688,Tablet,APPLE IPAD MINI 2019 64GB 4G GOLD MUX72ZP/A 平板電腦,APPLE,3949.0,0.0,82,香港蘇寧,https://product.hksuning.com/0000000000/10964145688.html
63,10555572829,Tablet,Apple iPad Pro 11 64GB 4G Space Gray MU0M2ZP/A 平板電腦,Apple,6799.0,0.0,43,香港蘇寧,https://product.hksuning.com/0000000000/10555572829.html
64,10395181893,Tablet,Apple iPad (2018) Wi-Fi 128GB MR7J2ZP/A 太空灰,Apple,3088.0,-1.0,0,香港蘇寧,https://product.hksuning.com/0000000000/10395181893.html
65,10395359640,Tablet,Apple iPad (2018) Wi-Fi + Cellular 32GB MRM02ZP/A 金色,Apple,3338.0,0.0,87,香港蘇寧,https://product.hksuning.com/0000000000/10395359640.html
66,10555803878,Tablet,Apple iPad Pro 11 512GB Wi-Fi Silver MTXU2ZP/A 平板電腦,Apple,8199.0,0.0,16,香港蘇寧,https://product.hksuning.com/0000000000/10555803878.html
67,10394984583,Tablet,Apple iPad (2018) Wi-Fi + Cellular 32GB MR6N2ZP/A 太空灰,Apple,3288.0,0.0,59,香港蘇寧,https://product.hksuning.com/0000000000/10394984583.html
68,10964124236,Tablet,APPLE IPAD AIR 10.5 64GB 4G GOLD MV0F2ZP/A 平板電腦,APPLE,4488.0,0.0,16,香港蘇寧,https://product.hksuning.com/0000000000/10964124236.html
69,10964145573,Tablet,APPLE IPAD AIR 10.5 256GB 4G SILVER MV0P2ZP/A 平板電腦,APPLE,5488.0,0.0,35,香港蘇寧,https://product.hksuning.com/0000000000/10964145573.html
70,10555567339,Tablet,Apple iPad Pro 11 64GB 4G Silver MU0U2ZP/A 平板電腦,Apple,6799.0,0.0,12,香港蘇寧,https://product.hksuning.com/0000000000/10555567339.html
71,10818316793,Tablet,Microsoft Surface Pro 6 (Core i5/ 128GB/ 8GB RAM),Microsoft,7288.0,0.0,291,香港蘇寧,https://product.hksuning.com/0000000000/10818316793.html
72,10395156079,Tablet,Apple iPad (2018) Wi-Fi 32GB MR7G2ZP/A 銀色,Apple,2428.0,0.0,436,香港蘇寧,https://product.hksuning.com/0000000000/10395156079.html
73,10395130356,Tablet,Apple iPad (2018) Wi-Fi 32GB MR7F2ZP/A 太空灰,Apple,2428.0,0.0,438,香港蘇寧,https://product.hksuning.com/0000000000/10395130356.html
74,10555817857,Tablet,Apple iPad Pro 11 64GB Wi-Fi Silver MTXP2ZP/A 平板電腦,Apple,5799.0,0.0,130,香港蘇寧,https://product.hksuning.com/0000000000/10555817857.html
75,10555802003,Tablet,Apple iPad Pro 11 256GB Wi-Fi Space Gray MTXQ2ZP/A 平板電腦,Apple,6799.0,0.0,508,香港蘇寧,https://product.hksuning.com/0000000000/10555802003.html
