,Unnamed: 0,product_index,product_type,product_brand,product_name,product_price,average_rate,no_of_rates,seller,website
23,23,H0661001_S_NBOHPA-14-ce1030TX,laptop,HP,Pavilion 14-ce1030TX 5MX31PA#AB5- Pale Gold,5388.0,0.0,0,Centralfield,https://www.hktvmall.com/hktv/zh/main/Centralfield/s/H0661001/電子電器/電子電器/電腦及週邊設備/手提電腦/Pavilion-14ce1030TX-5MX31PAAB5-Pale-Gold/p/H0661001_S_NBOHPA-14-ce1030TX
24,24,H5023002_S_81MU00B7HH,laptop,聯想,IdeaPad S145 14吋 i5 8G 256 SSD 手提電腦 (81MU00B7HH),4899.0,0.0,0,Protech-Computer,https://www.hktvmall.com/hktv/zh/main/Protech-Computer/s/H5023002/電子電器/電子電器/電腦及週邊設備/手提電腦/IdeaPad-S145-14吋-i5-8G-256-SSD-手提電腦-81MU00B7HH/p/H5023002_S_81MU00B7HH
25,25,H5023001_S_80V0000YHH_DU,laptop,聯想,"IdeaPad 510S 13.3"" i5 SSD 輕巧高效手提電腦 (80V0000YHH) - 高質陳列品",4899.0,0.0,0,OB-House,https://www.hktvmall.com/hktv/zh/main/OB-House/s/H5023001/電子電器/電子電器/電腦及週邊設備/手提電腦/IdeaPad-510S-133-i5-SSD-輕巧高效手提電腦-80V0000YHH-高質陳列品/p/H5023001_S_80V0000YHH_DU
26,26,H5023002_S_81F4007BHH,laptop,聯想,IdeaPad 330s 14吋 8代i7 纖巧幼邊筆記型電腦 (81F4007BHH) - 全新機,7498.0,0.0,0,Protech-Computer,https://www.hktvmall.com/hktv/zh/main/Protech-Computer/s/H5023002/電子電器/電子電器/電腦及週邊設備/手提電腦/IdeaPad-330s-14吋-8代i7-纖巧幼邊筆記型電腦-81F4007BHH-全新機/p/H5023002_S_81F4007BHH
27,27,H0762001_S_NP530XBB-K03HK-800160054,laptop,三星,"NOTEBOOK FLASH 13.3"" Pentium N5000 筆記簿型電腦 NP530XBB-K03HK",3798.0,0.0,0,Mob-hk,https://www.hktvmall.com/hktv/zh/main/Mob-hk/s/H0762001/電子電器/電子電器/電腦及週邊設備/手提電腦/NOTEBOOK-FLASH-133-Pentium-N5000-筆記簿型電腦-NP530XBBK03HK/p/H0762001_S_NP530XBB-K03HK-800160054
28,28,H0661001_S_NBOHPA-HPSTREAM11-ah113TU,laptop,HP,"STREAM 11-ah113TU 11.6"" 4NT27PA#AB5 Infinity Purple",1950.0,3.0,2,Centralfield,https://www.hktvmall.com/hktv/zh/main/Centralfield/s/H0661001/電子電器/電子電器/電腦及週邊設備/手提電腦/STREAM-11ah113TU-116-4NT27PAAB5-Infinity-Purple/p/H0661001_S_NBOHPA-HPSTREAM11-ah113TU
29,29,H6934001_S_XPS15-7590-R1740H-S-W10,laptop,Dell,XPS15-7590-R1740H-S-W10,16999.0,0.0,0,D--Century-Technology-Limited,https://www.hktvmall.com/hktv/zh/main/D--Century-Technology-Limited/s/H6934001/電子電器/電子電器/電腦及週邊設備/手提電腦/XPS157590R1740HSW10/p/H6934001_S_XPS15-7590-R1740H-S-W10
30,30,H5023001_S_80X800JXHH,laptop,聯想,Yoga 520-14IKB 2合一 Core i5 觸屏手提電腦 (80X800JXHH) - 高質陳列品,4499.0,0.0,0,OB-House,https://www.hktvmall.com/hktv/zh/main/OB-House/s/H5023001/電子電器/電子電器/電腦及週邊設備/手提電腦/Yoga-52014IKB-2合一-Core-i5-觸屏手提電腦-80X800JXHH-高質陳列品/p/H5023001_S_80X800JXHH
31,31,H5023001_S_80M5006SHH_240,laptop,聯想,IdeaPad U31-70 240GB 手提電腦 (80M5006SHH_240) - 高質陳列品,3899.0,0.0,0,OB-House,https://www.hktvmall.com/hktv/zh/main/OB-House/s/H5023001/電子電器/電子電器/電腦及週邊設備/手提電腦/IdeaPad-U3170-240GB-手提電腦-80M5006SHH240-高質陳列品/p/H5023001_S_80M5006SHH_240
32,32,H5807001_S_4895076203495,laptop,快譯通,AD300 Android 語音專業辭典機,2356.0,5.0,1,Unstoppable,https://www.hktvmall.com/hktv/zh/main/Unstoppable/s/H5807001/電子電器/電子電器/電腦及週邊設備/手提電腦/AD300-Android-語音專業辭典機/p/H5807001_S_4895076203495
